Name of dormitory,Simplified town name,Town name,Name of operator,Postal Code,Phone number,Use of dormitory,Licence status
Acacia Lodge,ACACIA,BUKIT BATOK,Keppel Housing Pte Ltd,S659553,-,Commercial,Licensed
Alaunia Lodge,ALAUNIA,ADMIRALTY,Sembcorp Marine Integrated Yard Pte Ltd,S759956,-,Non-commercial,Licensed
Avery Lodge,AVERY,JALAN PAPAN,Averic Pte Ltd,S619415,6265 9616,Commercial,Licensed
Blue Stars Dormitory,BLUE,KIAN TECK LANE,Labourtel Management Corporation Pte Ltd,S627844,9666 7860,Commercial,Licensed
Brani Residence,BRANI,BRANI TERMINAL AVENUE,PSA Tanjong Pagar Complex Pte Ltd,S098323,-,Non-commercial,Licensed
CCK Dorm A,NULL,CHOA CHU KANG,Equation Technology Singapore Pte Ltd,S688216,97338748,Commercial,Licensed
CCK Dorm B,NULL,CHOA CHU KANG,China Construction (South Pacific) Development Co Pte Ltd,S688217,92772929,Commercial,Licensed
CCK Dorm C,NULL,CHOA CHU KANG,Primetop Engineering Pte Ltd,S688218,62768208,Commercial,Licensed
CDPL Tuas Dormitory,TUAS,TUAS,Capital Development (Tuas) Pte Ltd,S636906,6316 3882,Commercial,Licensed
Cassia @ Penjuru,PENJURU,PENJURU ,Keppel Housing Pte Ltd,S608541,-,Non-commercial,Licensed
Centurion - Lian Beng (Papan) Pte Ltd,JALAN,JALAN PAPAN,Centurion / Lian Beng (Papan) Pte Ltd,S619420,-,Commercial,Licensed
Changi Lodge 2,LODGE,TANAH MERAH,S11 Capital Investments Pte Ltd,S498751,6587 6200,Commercial,Licensed
Cochrane Lodge 1,LODGE,ADMIRALTY,Vobis Enterprise Pte Ltd,S757443,6890 6333,Commercial,Licensed
Cochrane Lodge 2,LODGE,ADMIRALTY,Vobis Enterprise Pte Ltd,S757444,6890 6333,Commercial,Licensed
Dorm 13A Admiralty Street,NULL,ADMIRALTY,S11 Capital Investments Pte Ltd,S756934,93228526,Commercial,Licensed
Dorm 19A Admiralty Street,NULL,ADMIRALTY,Topzone Builders Pte Ltd,S756937,62974466,Commercial,Licensed
Dorm 21A & 23A Admiralty Street,NULL,ADMIRALTY,D Wall Pte Ltd,S756935,98369930,Commercial,Licensed
Homestay Lodge,LODGE,KAKI BUKIT,Homestay Management Pte Ltd,S415920,6741 9988,Commercial,Licensed
Hulett Dormitory,SENOKO,SENOKO,Hulett Construction (S) Pte Ltd,S758207,6383 4925,Commercial,Licensed
JTC Space @ Tuas Biomedical Park Dormitory,SPACE,TUAS,Westlite Dormitory (V Six) Pte Ltd,S637370,,Non-commercial,Licensed
Jurong Apartments,JURONG,JURONG,Cushman & Wakefield Facilities & Engineering (S) Limited,S638355,6558 6156,Commercial,Licensed
