month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price
2019-01,ANG MO KIO,3 ROOM,225,ANG MO KIO AVENUE 1,01 TO 03,67,New Generation,1978,58 years,230000
2019-01,ANG MO KIO,3 ROOM,174,ANG MO KIO AVENUE 4,01 TO 03,60,Improved,1986,66 years,235000
2019-01,ANG MO KIO,3 ROOM,440,ANG MO KIO AVENUE 10,04 TO 06,67,New Generation,1979,59 years,238000
2019-01,ANG MO KIO,3 ROOM,174,ANG MO KIO AVENUE 4,10 TO 12,61,Improved,1986,66 years 01 month,240000
2019-01,ANG MO KIO,3 ROOM,637,ANG MO KIO AVENUE 6,01 TO 03,68,New Generation,1980,60 years 08 months,240000
2019-01,ANG MO KIO,3 ROOM,571,ANG MO KIO AVENUE 3,01 TO 03,67,New Generation,1979,59 years 04 months,242000
2019-01,ANG MO KIO,3 ROOM,505,ANG MO KIO AVENUE 8,01 TO 03,68,New Generation,1980,60 years 07 months,250000
2019-01,ANG MO KIO,3 ROOM,631,ANG MO KIO AVENUE 4,07 TO 09,67,New Generation,1985,65 years,253000
2019-01,ANG MO KIO,3 ROOM,440,ANG MO KIO AVENUE 10,04 TO 06,67,New Generation,1979,59 years,258000
2019-01,ANG MO KIO,3 ROOM,474,ANG MO KIO AVENUE 10,01 TO 03,67,New Generation,1984,64 years 01 month,258000
2019-01,ANG MO KIO,3 ROOM,403,ANG MO KIO AVENUE 10,04 TO 06,67,New Generation,1979,59 years 04 months,260000
2019-01,ANG MO KIO,3 ROOM,445,ANG MO KIO AVENUE 10,04 TO 06,67,New Generation,1979,59 years 08 months,260000
2019-01,ANG MO KIO,3 ROOM,557,ANG MO KIO AVENUE 10,13 TO 15,68,New Generation,1980,60 years 01 month,260000
2019-01,ANG MO KIO,3 ROOM,585,ANG MO KIO AVENUE 3,01 TO 03,67,New Generation,1979,59 years 05 months,260000
2019-01,ANG MO KIO,3 ROOM,107,ANG MO KIO AVENUE 4,07 TO 09,74,New Generation,1978,58 years 04 months,262000
2019-01,ANG MO KIO,3 ROOM,333,ANG MO KIO AVENUE 1,01 TO 03,68,New Generation,1981,61 years,262500
2019-01,ANG MO KIO,3 ROOM,631,ANG MO KIO AVENUE 4,07 TO 09,67,New Generation,1985,65 years,265000
2019-01,ANG MO KIO,3 ROOM,108,ANG MO KIO AVENUE 4,10 TO 12,67,New Generation,1978,58 years 07 months,266000
2019-01,ANG MO KIO,3 ROOM,564,ANG MO KIO AVENUE 3,07 TO 09,68,New Generation,1985,65 years 01 month,269000
2019-01,ANG MO KIO,3 ROOM,225,ANG MO KIO AVENUE 1,07 TO 09,67,New Generation,1978,58 years 01 month,270000
2019-01,ANG MO KIO,3 ROOM,330,ANG MO KIO AVENUE 1,01 TO 03,68,New Generation,1981,61 years 01 month,270000
2019-01,ANG MO KIO,3 ROOM,473,ANG MO KIO AVENUE 10,07 TO 09,67,New Generation,1984,64 years 07 months,275000
2019-01,ANG MO KIO,3 ROOM,121,ANG MO KIO AVENUE 3,07 TO 09,67,New Generation,1978,58 years 10 months,282000
2019-01,ANG MO KIO,3 ROOM,421,ANG MO KIO AVENUE 10,04 TO 06,74,New Generation,1979,59 years 07 months,285000
2019-01,ANG MO KIO,3 ROOM,606,ANG MO KIO AVENUE 5,10 TO 12,67,New Generation,1980,60 years 06 months,285000
2019-01,ANG MO KIO,3 ROOM,211,ANG MO KIO AVENUE 3,07 TO 09,67,New Generation,1977,57 years 03 months,285000
2019-01,ANG MO KIO,3 ROOM,121,ANG MO KIO AVENUE 3,10 TO 12,67,New Generation,1978,58 years 09 months,288000
2019-01,ANG MO KIO,3 ROOM,417,ANG MO KIO AVENUE 10,01 TO 03,74,New Generation,1979,59 years 08 months,290000
2019-01,ANG MO KIO,3 ROOM,345,ANG MO KIO AVENUE 3,01 TO 03,73,New Generation,1978,58 years 03 months,290000
2019-01,ANG MO KIO,3 ROOM,557,ANG MO KIO AVENUE 10,10 TO 12,68,New Generation,1980,60 years 01 month,290000
2019-01,ANG MO KIO,3 ROOM,215,ANG MO KIO AVENUE 1,04 TO 06,73,New Generation,1976,56 years 04 months,295000
2019-01,ANG MO KIO,3 ROOM,345,ANG MO KIO AVENUE 3,04 TO 06,73,New Generation,1978,58 years 03 months,305000
2019-01,ANG MO KIO,3 ROOM,649,ANG MO KIO AVENUE 5,07 TO 09,75,New Generation,1980,60 years 10 months,305000
2019-01,ANG MO KIO,3 ROOM,513,ANG MO KIO AVENUE 8,07 TO 09,67,New Generation,1984,64 years 09 months,312000
2019-01,ANG MO KIO,3 ROOM,418,ANG MO KIO AVENUE 10,13 TO 15,74,New Generation,1979,59 years 08 months,326000
2019-01,ANG MO KIO,3 ROOM,421,ANG MO KIO AVENUE 10,13 TO 15,74,New Generation,1979,59 years 08 months,330000
2019-01,ANG MO KIO,4 ROOM,204,ANG MO KIO AVENUE 3,01 TO 03,92,New Generation,1977,57 years,330000
2019-01,ANG MO KIO,3 ROOM,507,ANG MO KIO AVENUE 8,04 TO 06,81,New Generation,1980,60 years 05 months,335000
2019-01,ANG MO KIO,3 ROOM,465,ANG MO KIO AVENUE 10,07 TO 09,82,New Generation,1980,60 years 02 months,338000
2019-01,ANG MO KIO,3 ROOM,643,ANG MO KIO AVENUE 5,13 TO 15,75,New Generation,1980,60 years 10 months,340000
2019-01,ANG MO KIO,3 ROOM,524,ANG MO KIO AVENUE 5,10 TO 12,82,New Generation,1980,60 years 07 months,358000
2019-01,ANG MO KIO,4 ROOM,175,ANG MO KIO AVENUE 4,07 TO 09,91,New Generation,1981,61 years 06 months,360000
2019-01,ANG MO KIO,4 ROOM,543,ANG MO KIO AVENUE 10,01 TO 03,92,New Generation,1981,61 years 01 month,370000
2019-01,ANG MO KIO,4 ROOM,118,ANG MO KIO AVENUE 4,04 TO 06,99,New Generation,1978,58 years 04 months,375000
2019-01,ANG MO KIO,4 ROOM,411,ANG MO KIO AVENUE 10,04 TO 06,92,New Generation,1979,59 years 07 months,380000
2019-01,ANG MO KIO,4 ROOM,546,ANG MO KIO AVENUE 10,10 TO 12,92,New Generation,1981,61 years,380000
2019-01,ANG MO KIO,4 ROOM,428,ANG MO KIO AVENUE 3,07 TO 09,92,New Generation,1978,58 years 10 months,385000
2019-01,ANG MO KIO,4 ROOM,173,ANG MO KIO AVENUE 4,04 TO 06,92,New Generation,1982,62 years 01 month,395000
2019-01,ANG MO KIO,4 ROOM,607,ANG MO KIO AVENUE 4,10 TO 12,93,New Generation,1980,60 years 11 months,395000
2019-01,ANG MO KIO,4 ROOM,603,ANG MO KIO AVENUE 5,07 TO 09,91,New Generation,1980,60 years 05 months,395000
2019-01,ANG MO KIO,4 ROOM,511,ANG MO KIO AVENUE 8,07 TO 09,91,New Generation,1980,60 years 07 months,400000
2019-01,ANG MO KIO,4 ROOM,205,ANG MO KIO AVENUE 1,07 TO 09,98,New Generation,1977,57 years,408000
2019-01,ANG MO KIO,4 ROOM,433,ANG MO KIO AVENUE 10,10 TO 12,92,New Generation,1979,59 years,409000
2019-01,ANG MO KIO,4 ROOM,610,ANG MO KIO AVENUE 4,07 TO 09,95,New Generation,1980,60 years 10 months,412000
2019-01,ANG MO KIO,4 ROOM,335,ANG MO KIO AVENUE 1,04 TO 06,91,New Generation,1982,62 years 01 month,428000
2019-01,ANG MO KIO,4 ROOM,312,ANG MO KIO AVENUE 3,13 TO 15,98,New Generation,1978,58 years 01 month,460000
2019-01,ANG MO KIO,4 ROOM,326,ANG MO KIO AVENUE 3,13 TO 15,92,New Generation,1977,57 years 04 months,463000
2019-01,ANG MO KIO,5 ROOM,553,ANG MO KIO AVENUE 10,01 TO 03,119,Improved,1980,60 years 07 months,470000
2019-01,ANG MO KIO,4 ROOM,627,ANG MO KIO AVENUE 9,10 TO 12,112,Model A,1993,73 years 03 months,490000
2019-01,ANG MO KIO,4 ROOM,310C,ANG MO KIO AVENUE 1,04 TO 06,94,Model A,2012,92 years 08 months,500000
2019-01,ANG MO KIO,5 ROOM,401,ANG MO KIO AVENUE 10,10 TO 12,119,Improved,1979,59 years 04 months,545000
2019-01,ANG MO KIO,5 ROOM,101,ANG MO KIO AVENUE 3,10 TO 12,117,Standard,1978,58 years 02 months,564000
2019-01,ANG MO KIO,5 ROOM,545,ANG MO KIO AVENUE 10,16 TO 18,118,Improved,1981,61 years,578000
2019-01,ANG MO KIO,5 ROOM,458,ANG MO KIO AVENUE 10,19 TO 21,120,Improved,1980,60 years,588000
2019-01,ANG MO KIO,4 ROOM,700A,ANG MO KIO AVENUE 6,10 TO 12,90,Model A,2003,83 years 08 months,598000
