month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_data,remaining_lease,resale_price,flat_postal_code,Mininum distance of resale flat to the nearest dormitory (in km),closest_dorm_postal_code,distance_to_CBD,closest_station_name,min_distance_to_station_in_km,latitude,longitude
2019-01,ANG MO KIO,3 ROOM,225,ANG MO KIO AVENUE 1,01 TO 03,67,New Generation,1978,58 years,230000,560225,6.10190508,367951,9.350867471,Ang Mo Kio,1.289506987,1.367396128,103.83815
2019-01,ANG MO KIO,3 ROOM,174,ANG MO KIO AVENUE 4,01 TO 03,60,Improved,1986,66 years,235000,560174,6.658257295,367951,10.20639831,Yio Chu Kang,1.101544518,1.375097469,103.837619
2019-01,ANG MO KIO,3 ROOM,440,ANG MO KIO AVENUE 10,04 TO 06,67,New Generation,1979,59 years,238000,560440,4.63204258,367951,9.139720108,Ang Mo Kio,0.671808428,1.366427898,103.8543115
2019-01,ANG MO KIO,3 ROOM,637,ANG MO KIO AVENUE 6,01 TO 03,68,New Generation,1980,60 years 08 months,240000,560637,6.670192736,367951,10.7258035,Yio Chu Kang,0.325006256,1.380361872,103.8423346
2019-01,ANG MO KIO,3 ROOM,571,ANG MO KIO AVENUE 3,01 TO 03,67,New Generation,1979,59 years 04 months,242000,560571,4.881829743,367951,9.545344173,Ang Mo Kio,0.603697341,1.370055013,103.8548806
2019-01,ANG MO KIO,3 ROOM,505,ANG MO KIO AVENUE 8,01 TO 03,68,New Generation,1980,60 years 07 months,250000,560505,5.624970867,367951,10.07053687,Ang Mo Kio,0.545333295,1.37485973,103.8502249
2019-01,ANG MO KIO,3 ROOM,631,ANG MO KIO AVENUE 4,07 TO 09,67,New Generation,1985,65 years,253000,560631,6.731681025,367951,10.65437182,Yio Chu Kang,0.523488592,1.379557282,103.8407357
2019-01,ANG MO KIO,3 ROOM,474,ANG MO KIO AVENUE 10,01 TO 03,67,New Generation,1984,64 years 01 month,258000,560474,4.052338629,367951,8.758710991,Ang Mo Kio,1.248248857,1.362757847,103.8580153
2019-01,ANG MO KIO,3 ROOM,403,ANG MO KIO AVENUE 10,04 TO 06,67,New Generation,1979,59 years 04 months,260000,560403,4.219957738,367951,8.568193612,Ang Mo Kio,1.131093167,1.361269015,103.8546424
2019-01,ANG MO KIO,3 ROOM,445,ANG MO KIO AVENUE 10,04 TO 06,67,New Generation,1979,59 years 08 months,260000,560445,4.566580355,367951,9.208549585,Ang Mo Kio,0.774301328,1.366980045,103.8557181
2019-01,ANG MO KIO,3 ROOM,557,ANG MO KIO AVENUE 10,13 TO 15,68,New Generation,1980,60 years 01 month,260000,560557,4.815659128,367951,9.738886912,Ang Mo Kio,0.938317057,1.371625702,103.8577361
