month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_data,remaining_lease,resale_price,flat_postal_code,min_distance_to_dorm_in_km,closest_dorm_postal_code,distance_to_CBD,closest_station_name,min_distance_to_station_in_km
2019-01,ANG MO KIO,3 ROOM,225,ANG MO KIO AVENUE 1,01 TO 03,67,New Generation,1978,58 years,230000,560225,6.101905080069303,367951,9.35086747141292,Ang Mo Kio,1.2895069868416618
2019-01,ANG MO KIO,3 ROOM,174,ANG MO KIO AVENUE 4,01 TO 03,60,Improved,1986,66 years,235000,560174,6.658257294874637,367951,10.206398305617483,Yio Chu Kang,1.1015445180259407
2019-01,ANG MO KIO,3 ROOM,440,ANG MO KIO AVENUE 10,04 TO 06,67,New Generation,1979,59 years,238000,560440,4.632042579888263,367951,9.13972010806409,Ang Mo Kio,0.6718084277198297
2019-01,ANG MO KIO,3 ROOM,174,ANG MO KIO AVENUE 4,10 TO 12,61,Improved,1986,66 years 01 month,240000,560174,6.658257294874637,367951,10.206398305617483,Yio Chu Kang,1.1015445180259407
2019-01,ANG MO KIO,3 ROOM,637,ANG MO KIO AVENUE 6,01 TO 03,68,New Generation,1980,60 years 08 months,240000,560637,6.670192735865137,367951,10.725803498821634,Yio Chu Kang,0.3250062563012435
2019-01,ANG MO KIO,3 ROOM,571,ANG MO KIO AVENUE 3,01 TO 03,67,New Generation,1979,59 years 04 months,242000,560571,4.881829743360991,367951,9.545344173165454,Ang Mo Kio,0.6036973413771445
2019-01,ANG MO KIO,3 ROOM,505,ANG MO KIO AVENUE 8,01 TO 03,68,New Generation,1980,60 years 07 months,250000,560505,5.6249708671579235,367951,10.070536872912255,Ang Mo Kio,0.5453332950282525
2019-01,ANG MO KIO,3 ROOM,631,ANG MO KIO AVENUE 4,07 TO 09,67,New Generation,1985,65 years,253000,560631,6.731681025387266,367951,10.654371817354479,Yio Chu Kang,0.5234885917481077
2019-01,ANG MO KIO,3 ROOM,440,ANG MO KIO AVENUE 10,04 TO 06,67,New Generation,1979,59 years,258000,560440,4.632042579888263,367951,9.13972010806409,Ang Mo Kio,0.6718084277198297
2019-01,ANG MO KIO,3 ROOM,474,ANG MO KIO AVENUE 10,01 TO 03,67,New Generation,1984,64 years 01 month,258000,560474,4.052338628590164,367951,8.75871099106465,Ang Mo Kio,1.2482488570332753
2019-01,ANG MO KIO,3 ROOM,403,ANG MO KIO AVENUE 10,04 TO 06,67,New Generation,1979,59 years 04 months,260000,560403,4.219957738311175,367951,8.568193612102423,Ang Mo Kio,1.1310931665613708
2019-01,ANG MO KIO,3 ROOM,445,ANG MO KIO AVENUE 10,04 TO 06,67,New Generation,1979,59 years 08 months,260000,560445,4.5665803546475,367951,9.208549585128711,Ang Mo Kio,0.7743013284484387
2019-01,ANG MO KIO,3 ROOM,557,ANG MO KIO AVENUE 10,13 TO 15,68,New Generation,1980,60 years 01 month,260000,560557,4.815659127627952,367951,9.738886911563585,Ang Mo Kio,0.9383170571456235
2019-01,ANG MO KIO,3 ROOM,585,ANG MO KIO AVENUE 3,01 TO 03,67,New Generation,1979,59 years 05 months,260000,560585,5.114800414271345,367951,9.59729621419934,Ang Mo Kio,0.330626365091279
2019-01,ANG MO KIO,3 ROOM,107,ANG MO KIO AVENUE 4,07 TO 09,74,New Generation,1978,58 years 04 months,262000,560107,6.425761606499726,367951,9.802170514903557,Ang Mo Kio,1.3501667574731815
2019-01,ANG MO KIO,3 ROOM,333,ANG MO KIO AVENUE 1,01 TO 03,68,New Generation,1981,61 years,262500,560333,4.482309700503892,367951,8.56737555217178,Ang Mo Kio,0.9964164209926487
2019-01,ANG MO KIO,3 ROOM,631,ANG MO KIO AVENUE 4,07 TO 09,67,New Generation,1985,65 years,265000,560631,6.731681025387266,367951,10.654371817354479,Yio Chu Kang,0.5234885917481077
2019-01,ANG MO KIO,3 ROOM,108,ANG MO KIO AVENUE 4,10 TO 12,67,New Generation,1978,58 years 07 months,266000,560108,6.324792124956598,367951,9.742502413109467,Ang Mo Kio,1.254822057753697
2019-01,ANG MO KIO,3 ROOM,564,ANG MO KIO AVENUE 3,07 TO 09,68,New Generation,1985,65 years 01 month,269000,560564,4.546207562544901,367951,9.558069975257592,Ang Mo Kio,1.1066879043897115
2019-01,ANG MO KIO,3 ROOM,225,ANG MO KIO AVENUE 1,07 TO 09,67,New Generation,1978,58 years 01 month,270000,560225,6.101905080069303,367951,9.35086747141292,Ang Mo Kio,1.2895069868416618
2019-01,ANG MO KIO,3 ROOM,330,ANG MO KIO AVENUE 1,01 TO 03,68,New Generation,1981,61 years 01 month,270000,560330,4.614698588651031,367951,8.68820082458923,Ang Mo Kio,0.8615381244543473
2019-01,ANG MO KIO,3 ROOM,473,ANG MO KIO AVENUE 10,07 TO 09,67,New Generation,1984,64 years 07 months,275000,560473,4.168485731418446,367951,8.781003514029347,Ang Mo Kio,1.1293580706766309
2019-01,ANG MO KIO,3 ROOM,121,ANG MO KIO AVENUE 3,07 TO 09,67,New Generation,1978,58 years 10 months,282000,560121,5.771416105226143,367951,9.53389400847679,Ang Mo Kio,0.6605500889789313
2019-01,ANG MO KIO,3 ROOM,421,ANG MO KIO AVENUE 10,04 TO 06,74,New Generation,1979,59 years 07 months,285000,560421,4.66053458414072,367951,9.018998261872115,Ang Mo Kio,0.6466999502310632
2019-01,ANG MO KIO,3 ROOM,606,ANG MO KIO AVENUE 5,10 TO 12,67,New Generation,1980,60 years 06 months,285000,560606,7.038791536141708,367951,10.686123647020379,Yio Chu Kang,0.9429428871178892
2019-01,ANG MO KIO,3 ROOM,211,ANG MO KIO AVENUE 3,07 TO 09,67,New Generation,1977,57 years 03 months,285000,560211,5.898567460972105,367951,9.49793548279202,Ang Mo Kio,0.8700188450370371
2019-01,ANG MO KIO,3 ROOM,121,ANG MO KIO AVENUE 3,10 TO 12,67,New Generation,1978,58 years 09 months,288000,560121,5.771416105226143,367951,9.53389400847679,Ang Mo Kio,0.6605500889789313
2019-01,ANG MO KIO,3 ROOM,417,ANG MO KIO AVENUE 10,01 TO 03,74,New Generation,1979,59 years 08 months,290000,560417,4.447495078148981,367951,8.98108737243651,Ang Mo Kio,0.8511194045347931
2019-01,ANG MO KIO,3 ROOM,345,ANG MO KIO AVENUE 3,01 TO 03,73,New Generation,1978,58 years 03 months,290000,560345,5.090964139203313,367951,9.25162027031225,Ang Mo Kio,0.28221248149116474
2019-01,ANG MO KIO,3 ROOM,557,ANG MO KIO AVENUE 10,10 TO 12,68,New Generation,1980,60 years 01 month,290000,560557,4.815659127627952,367951,9.738886911563585,Ang Mo Kio,0.9383170571456235
2019-01,ANG MO KIO,3 ROOM,215,ANG MO KIO AVENUE 1,04 TO 06,73,New Generation,1976,56 years 04 months,295000,560215,5.729933930007059,367951,9.206898549656898,Ang Mo Kio,0.951170920318496
2019-01,ANG MO KIO,3 ROOM,345,ANG MO KIO AVENUE 3,04 TO 06,73,New Generation,1978,58 years 03 months,305000,560345,5.090964139203313,367951,9.25162027031225,Ang Mo Kio,0.28221248149116474
2019-01,ANG MO KIO,3 ROOM,649,ANG MO KIO AVENUE 5,07 TO 09,75,New Generation,1980,60 years 10 months,305000,560649,6.350929386186024,367951,10.424286551270667,Yio Chu Kang,0.4748640371564099
2019-01,ANG MO KIO,3 ROOM,513,ANG MO KIO AVENUE 8,07 TO 09,67,New Generation,1984,64 years 09 months,312000,560513,5.453549985072876,367951,9.834538500042012,Ang Mo Kio,0.3135773679785651
2019-01,ANG MO KIO,3 ROOM,418,ANG MO KIO AVENUE 10,13 TO 15,74,New Generation,1979,59 years 08 months,326000,560418,4.539504995515579,367951,8.973920521352742,Ang Mo Kio,0.7607082590718909
2019-01,ANG MO KIO,3 ROOM,421,ANG MO KIO AVENUE 10,13 TO 15,74,New Generation,1979,59 years 08 months,330000,560421,4.66053458414072,367951,9.018998261872115,Ang Mo Kio,0.6466999502310632
2019-01,ANG MO KIO,4 ROOM,204,ANG MO KIO AVENUE 3,01 TO 03,92,New Generation,1977,57 years,330000,560204,5.575987848726616,367951,9.27098820763462,Ang Mo Kio,0.6815899137868794
2019-01,ANG MO KIO,3 ROOM,507,ANG MO KIO AVENUE 8,04 TO 06,81,New Generation,1980,60 years 05 months,335000,560507,5.594578278628066,367951,10.022982253492753,Ang Mo Kio,0.49711952278580945
2019-01,ANG MO KIO,3 ROOM,465,ANG MO KIO AVENUE 10,07 TO 09,82,New Generation,1980,60 years 02 months,338000,560465,4.390788326859879,367951,9.132921778982762,Ang Mo Kio,0.9604390321614525
2019-01,ANG MO KIO,3 ROOM,643,ANG MO KIO AVENUE 5,13 TO 15,75,New Generation,1980,60 years 10 months,340000,560643,6.588430366245378,367951,10.429864923024457,Yio Chu Kang,0.6808636046372669
2019-01,ANG MO KIO,3 ROOM,524,ANG MO KIO AVENUE 5,10 TO 12,82,New Generation,1980,60 years 07 months,358000,560524,5.294867398119824,367951,9.907856653023133,Ang Mo Kio,0.5469723367957623
